_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
30,4305.2593150138855,0.0,1735904159.987821,,,,0.0009999550011549779,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
31,4785.820878982544,0.0,1735904640.549385,,,,,0.763849999666214,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
32,4786.644090414047,0.0,1735904641.3725965,,3.71887469291687,0.7749999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
33,4786.644238710403,0.0,1735904641.3727448,,,,0.0009999450017049607,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
34,5265.111156463623,0.0,1735905119.8396626,,,,,0.7694500005245208,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
35,5266.156368970871,0.0,1735905120.884875,,2.4354634284973145,0.824999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
36,5266.156498908997,0.0,1735905120.885005,,,,0.000999934002430934,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
37,5734.705655097961,0.0,1735905589.4341612,,,,,0.7773999996185302,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
38,5735.720757007599,0.0,1735905590.449263,,0.831900954246521,0.887499988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
39,5735.720907211304,0.0,1735905590.4494133,,,,0.0009999220033668937,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
40,6200.283166646957,0.0,1735906055.0116727,,,,,0.7756000001430512,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
41,6201.568742990494,0.0,1735906056.297249,,0.6445361375808716,0.9125000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
42,6201.568883895874,0.0,1735906056.29739,,,,0.0009999090045498345,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
43,6672.630328178406,0.0,1735906527.3588343,,,,,0.7852499997615814,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
44,6673.562053203583,0.0,1735906528.2905593,,2.101536512374878,0.8125,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
45,6673.562176465988,0.0,1735906528.2906826,,,,0.0009998950060197502,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
46,7132.81062579155,0.0,1735906987.5391319,,,,,0.7903000013828277,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
47,7133.802296876907,0.0,1735906988.530803,,1.7223594188690186,0.887499988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
48,7133.802437067032,0.0,1735906988.5309432,,,,0.0009998800078196328,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
49,7601.715996980667,0.0,1735907456.444503,,,,,0.7915500001907348,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
50,7602.886754274368,0.0,1735907457.6152604,,2.005096912384033,0.862500011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
51,7602.886896133423,0.0,1735907457.6154022,,,,0.0009998640099954728,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
52,8061.185443639755,0.0,1735907915.9139497,,,,,0.7914499981403351,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
53,8062.173398733139,0.0,1735907916.9019048,,1.6583640575408936,0.7875000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
54,8062.173544883728,0.0,1735907916.902051,,,,0.0009998470125962588,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
55,8536.452484369278,0.0,1735908391.1809905,,,,,0.7927499990463257,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
56,8537.702597141266,0.0,1735908392.4311032,,1.613483190536499,0.824999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
57,8537.702733516693,0.0,1735908392.4312396,,,,0.0009998290156739765,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
58,9004.528413534164,0.0,1735908859.2569196,,,,,0.8032499985694885,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
59,9005.273444414139,0.0,1735908860.0019505,,1.5020864009857178,0.8500000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
60,9005.273594141006,0.0,1735908860.0021002,,,,0.0009998100192836101,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
61,9470.821356534958,0.0,1735909325.5498626,,,,,0.8045999984741211,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
62,9472.140282869339,0.0,1735909326.868789,,0.8184908032417297,0.862500011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
63,9472.140415906906,0.0,1735909326.868922,,,,0.0009997900234831405,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
64,9942.261083126068,0.0,1735909796.9895892,,,,,0.8063499994277954,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
65,9943.501025676727,0.0,1735909798.2295318,,0.8250370025634766,0.887499988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
66,9943.501178979874,0.0,1735909798.229685,,,,0.0009997690283335455,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
67,10410.607565164566,0.0,1735910265.3360713,,,,,0.807650000333786,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
68,10411.56296467781,0.0,1735910266.2914708,,1.4522138833999634,0.8500000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
69,10411.563102960587,0.0,1735910266.291609,,,,0.0009997470338987998,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
70,10874.118192195892,0.0,1735910728.8466983,,,,,0.81000000166893,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
71,10874.976356983185,0.0,1735910729.704863,,1.2041176557540894,0.8374999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
72,10874.976501464844,0.0,1735910729.7050076,,,,0.0009997240402458741,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
73,11343.532947540283,0.0,1735911198.2614536,,,,,0.8126000008583069,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
74,11344.537548065186,0.0,1735911199.2660542,,2.024233341217041,0.7749999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
75,11344.5376932621,0.0,1735911199.2661994,,,,0.0009997000474447355,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
76,11816.38425397873,0.0,1735911671.11276,,,,,0.8112499988079072,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
77,11817.189310789108,0.0,1735911671.9178169,,2.0781006813049316,0.7749999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
78,11817.189480543137,0.0,1735911671.9179866,,,,0.0009996750555683464,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
79,12297.25365447998,0.0,1735912151.9821606,,,,,0.8171000010967254,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
80,12298.361935138702,0.0,1735912153.0904412,,0.2773672938346863,0.9375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
81,12298.362074375153,0.0,1735912153.0905805,,,,0.0009996490646926642,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
82,12756.629767894745,0.0,1735912611.358274,,,,,0.8244999995231629,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
83,12757.5012550354,0.0,1735912612.2297611,,1.8253616094589233,0.8125,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
84,12757.501397132874,0.0,1735912612.2299032,,,,0.000999622074896642,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
85,13230.980420827866,0.0,1735913085.708927,,,,,0.8268500010967255,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
86,13231.813348770142,0.0,1735913086.5418549,,0.9304126501083374,0.887499988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
87,13231.813475370407,0.0,1735913086.5419815,,,,0.0009995940862622267,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
88,13702.412986040115,0.0,1735913557.1414921,,,,,0.8235500011444091,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
89,13703.280448675156,0.0,1735913558.0089548,,0.4343581795692444,0.925000011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
90,13703.280580043793,0.0,1735913558.0090861,,,,0.0009995650988743592,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
91,14169.120858192444,0.0,1735914023.8493643,,,,,0.8249000012874603,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
92,14170.205338478088,0.0,1735914024.9338446,,1.1067774295806885,0.800000011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
93,14170.205489635468,0.0,1735914024.9339957,,,,0.0009995351128209745,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
94,14660.083677768707,0.0,1735914514.8121839,,,,,0.8265499982833863,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
95,14660.753673791885,0.0,1735914515.4821799,,0.5351502299308777,0.925000011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
96,14660.753936767578,0.0,1735914515.4824429,,,,0.0009995041281930007,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
97,15152.870033025742,0.0,1735915007.598539,,,,,0.8267499997615814,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
98,15153.925058364868,0.0,1735915008.6535645,,0.7329225540161133,0.875,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
99,15153.925212860107,0.0,1735915008.653719,,,,0.0009994721450843579,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,1,4000,2,exp1_permuted_src_datasets
