_step,_runtime,bootstrap_iter,_timestamp,before_ft_eval_acc,ft_loss,ft_acc,ft_eval_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
28,10.383106470108032,0.0,1741007570.7129796,,1.3727296590805054,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
29,10.393812894821167,0.0,1741007570.723686,,1.3721070289611816,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
30,10.403077125549316,0.0,1741007570.7329502,,1.3691800832748413,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
31,10.41199541091919,0.0,1741007570.7418685,,1.3702514171600342,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
32,10.420877456665039,0.0,1741007570.7507505,,1.3733181953430176,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
33,10.431443214416504,0.0,1741007570.7613163,,1.3698118925094604,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
34,10.440650463104248,0.0,1741007570.7705235,,1.37543523311615,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
35,10.44988489151001,0.0,1741007570.779758,,1.376330018043518,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
36,10.458784818649292,0.0,1741007570.788658,,1.3765008449554443,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
37,10.46833062171936,0.0,1741007570.7982037,,1.370034098625183,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
38,10.477625846862793,0.0,1741007570.807499,,1.3722223043441772,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
39,10.486778020858765,0.0,1741007570.816651,,1.370124340057373,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
40,10.49566912651062,0.0,1741007570.8255422,,1.3723961114883423,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
41,10.506047248840332,0.0,1741007570.8359203,,1.4277697801589966,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
42,10.515198230743408,0.0,1741007570.8450713,,1.373928427696228,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
43,10.524060249328613,0.0,1741007570.8539333,,1.369608759880066,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
44,10.53281545639038,0.0,1741007570.8626885,,1.3726941347122192,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
45,10.54351019859314,0.0,1741007570.8733833,,1.3690563440322876,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
46,10.552809000015259,0.0,1741007570.882682,,1.3733069896697998,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
47,10.562936067581177,0.0,1741007570.8928092,,1.3725696802139282,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
48,10.5720055103302,0.0,1741007570.9018786,,1.3702940940856934,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
49,10.58308720588684,0.0,1741007570.9129603,,1.369637370109558,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
50,10.59268069267273,0.0,1741007570.9225538,,1.3692610263824463,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
51,10.60282039642334,0.0,1741007570.9326935,,1.4281023740768433,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
52,10.612828969955444,0.0,1741007570.942702,,1.3691751956939697,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
53,10.623464107513428,0.0,1741007570.9533372,,1.3689662218093872,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
54,10.63275933265686,0.0,1741007570.9626324,,1.370910406112671,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
55,10.641613721847534,0.0,1741007570.9714868,,1.4276254177093506,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
56,10.650417804718018,0.0,1741007570.980291,,1.3691571950912476,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
57,10.66103744506836,0.0,1741007570.9909105,,1.3736906051635742,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
58,10.670270681381226,0.0,1741007571.0001438,,1.372763752937317,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
59,10.68034315109253,0.0,1741007571.0102162,,1.374703288078308,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
60,10.68930459022522,0.0,1741007571.0191777,,1.3717387914657593,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
61,10.700010776519775,0.0,1741007571.0298839,,1.3704944849014282,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
62,10.709523439407349,0.0,1741007571.0393965,,1.3739320039749146,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
63,10.71895456314087,0.0,1741007571.0488276,,1.3729442358016968,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
64,12.516908168792725,0.0,1741007572.8467813,,,,0.502,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,1,exp1_permuted_src_datasets
