_step,_runtime,bootstrap_iter,_timestamp,before_ft_eval_acc,ft_loss,ft_acc,ft_eval_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
24,46.10729122161865,0.0,1741007752.9986491,,0.00012370703916531056,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
25,46.14824652671814,0.0,1741007753.0396044,,0.0001085175754269585,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
26,46.18383026123047,0.0,1741007753.0751882,,0.00016565865371376276,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
27,46.22979974746704,0.0,1741007753.1211576,,5.525699816644192e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
28,46.26890516281128,0.0,1741007753.160263,,5.300820339471102e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
29,46.313066720962524,0.0,1741007753.2044246,,5.5941858590813354e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
30,46.347195863723755,0.0,1741007753.2385538,,5.9975798649247736e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
31,46.3952534198761,0.0,1741007753.2866113,,4.1865769162541255e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
32,46.42906665802002,0.0,1741007753.3204246,,5.8878220443148166e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
33,46.46393918991089,0.0,1741007753.355297,,3.7892394175287336e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
34,46.50042986869812,0.0,1741007753.3917878,,2.560288703534752e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
35,46.535303831100464,0.0,1741007753.4266617,,3.5651504731504247e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
36,46.569533824920654,0.0,1741007753.4608917,,3.466278576524928e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
37,46.60462164878845,0.0,1741007753.4959795,,3.882497549057007e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
38,46.639880657196045,0.0,1741007753.5312386,,2.5008770535350777e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
39,46.67460918426514,0.0,1741007753.565967,,2.5560211724950932e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
40,46.70942831039429,0.0,1741007753.6007862,,4.0355746023124084e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
41,46.744070529937744,0.0,1741007753.6354284,,1.4784508493903559e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
42,46.77860689163208,0.0,1741007753.6699648,,1.2243845958437305e-05,1.0,,0.001,1,16,28x28,PrototypicalNetwork,5,5,omniglot_SOTA_trainvalSet,Greek,False,5,4000,1,exp1_permuted_src_datasets
