_step,_runtime,bootstrap_iter,_timestamp,before_ft_eval_acc,ft_loss,ft_acc,ft_eval_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.267035245895386,0.0,1741007617.7725852,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
1,12.687992334365845,0.0,1741007623.1935422,0.7295,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
2,12.71942663192749,0.0,1741007623.2249765,,0.6522327065467834,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
3,12.839673519134521,0.0,1741007623.3452234,,0.6844697594642639,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
4,12.885363578796387,0.0,1741007623.3909135,,0.6153320670127869,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
5,12.930957794189453,0.0,1741007623.4365077,,0.631994366645813,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
6,12.976198673248291,0.0,1741007623.4817486,,0.6250355243682861,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
7,13.022124767303467,0.0,1741007623.5276747,,0.5620915293693542,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
8,13.06646466255188,0.0,1741007623.5720146,,0.6761267185211182,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
9,13.11061429977417,0.0,1741007623.6161642,,0.4872611165046692,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
10,13.156450033187866,0.0,1741007623.662,,0.433319628238678,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
11,13.201163530349731,0.0,1741007623.7067134,,0.5634709000587463,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
12,13.246093273162842,0.0,1741007623.7516432,,0.5086826682090759,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
13,13.290321588516235,0.0,1741007623.7958715,,0.5839381217956543,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
14,13.3339364528656,0.0,1741007623.8394864,,0.6013597846031189,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
15,13.37876033782959,0.0,1741007623.8843102,,0.5132216811180115,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
16,13.423068523406982,0.0,1741007623.9286184,,0.4439813196659088,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
17,13.469279766082764,0.0,1741007623.9748297,,0.5008223056793213,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
18,13.515432834625244,0.0,1741007624.0209827,,0.5504952669143677,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
19,13.560030221939087,0.0,1741007624.0655801,,0.38996440172195435,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
20,13.603344202041626,0.0,1741007624.108894,,0.5370143055915833,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
21,13.648486137390137,0.0,1741007624.154036,,0.5047977566719055,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
22,13.692976951599121,0.0,1741007624.1985269,,0.3646518588066101,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
23,13.736388921737671,0.0,1741007624.2419388,,0.49119895696640015,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
24,13.780808925628662,0.0,1741007624.2863588,,0.40105292201042175,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
25,13.824208974838257,0.0,1741007624.329759,,0.48246821761131287,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
26,13.868799686431885,0.0,1741007624.3743496,,0.37032780051231384,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
27,13.913434028625488,0.0,1741007624.418984,,0.45122283697128296,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
28,13.957086086273193,0.0,1741007624.462636,,0.5047465562820435,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
29,14.002222776412964,0.0,1741007624.5077727,,0.5483946800231934,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
30,14.049307823181152,0.0,1741007624.5548577,,0.5344781279563904,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
31,14.092684984207153,0.0,1741007624.598235,,0.4176792502403259,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
32,14.137321710586548,0.0,1741007624.6428716,,0.40102165937423706,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
33,14.180848836898804,0.0,1741007624.6863987,,0.5202087163925171,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
34,14.226541519165039,0.0,1741007624.7320914,,0.4265058636665344,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
35,14.271453619003296,0.0,1741007624.7770035,,0.36823520064353943,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
36,14.316301822662354,0.0,1741007624.8218517,,0.5029436349868774,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
37,14.360555410385132,0.0,1741007624.8661053,,0.314639151096344,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
38,14.411481142044067,0.0,1741007624.917031,,0.47670334577560425,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
39,14.456518650054932,0.0,1741007624.9620686,,0.4618675410747528,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
40,14.500905752182007,0.0,1741007625.0064557,,0.35514670610427856,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
41,14.544260501861572,0.0,1741007625.0498104,,0.34376388788223267,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
42,14.589115619659424,0.0,1741007625.0946655,,0.36141136288642883,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
43,14.633239984512329,0.0,1741007625.13879,,0.4835805296897888,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
44,14.680911302566528,0.0,1741007625.1864612,,0.38519689440727234,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
45,14.725624799728394,0.0,1741007625.2311747,,0.42658141255378723,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
46,14.770665168762207,0.0,1741007625.276215,,0.4608924090862274,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
47,14.814096927642822,0.0,1741007625.3196468,,0.42582061886787415,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
48,14.858252048492432,0.0,1741007625.363802,,0.39934319257736206,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
49,14.901932954788208,0.0,1741007625.4074829,,0.3472153842449188,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
50,14.946873188018799,0.0,1741007625.452423,,0.34349390864372253,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
51,14.991236925125122,0.0,1741007625.4967868,,0.4039444327354431,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
52,15.035199165344238,0.0,1741007625.540749,,0.3235727846622467,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
53,15.079685688018799,0.0,1741007625.5852356,,0.37958890199661255,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
54,15.124300003051758,0.0,1741007625.62985,,0.33197858929634094,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
55,15.169208288192749,0.0,1741007625.6747582,,0.4071695804595947,0.9375,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
56,15.213921546936035,0.0,1741007625.7194715,,0.39533719420433044,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
57,15.258545398712158,0.0,1741007625.7640953,,0.2921493649482727,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
58,15.303653478622437,0.0,1741007625.8092034,,0.3695998787879944,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
59,15.348013401031494,0.0,1741007625.8535633,,0.36791443824768066,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
60,15.393195867538452,0.0,1741007625.8987458,,0.37635868787765503,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
61,15.442883729934692,0.0,1741007625.9484336,,0.3594735264778137,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
62,15.48804521560669,0.0,1741007625.9935951,,0.3178410530090332,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
63,15.53296971321106,0.0,1741007626.0385196,,0.34197959303855896,1.0,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
64,20.94673490524292,0.0,1741007631.4522848,,,,0.905,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,1,exp1_permuted_src_datasets
