_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
32,182.96499228477478,0.0,1735987818.7716122,,0.971034049987793,0.75,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
33,182.96519684791565,0.0,1735987818.7718167,,,,0.0009999450017049607,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
34,191.11102271080017,0.0,1735987826.9176426,,,,,0.8965,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
35,194.86872148513794,0.0,1735987830.6753414,,0.7513102293014526,1.0,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
36,194.86891436576843,0.0,1735987830.6755342,,,,0.000999934002430934,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
37,202.91309094429016,0.0,1735987838.7197108,,,,,0.89775,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
38,206.795982837677,0.0,1735987842.6026027,,1.1502443552017212,0.8125,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
39,206.79617404937744,0.0,1735987842.602794,,,,0.0009999220033668937,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
40,214.81271624565125,0.0,1735987850.6193361,,,,,0.89825,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
41,218.9597568511963,0.0,1735987854.7663767,,0.8864548206329346,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
42,218.9599254131317,0.0,1735987854.7665453,,,,0.0009999090045498345,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
43,226.95624685287476,0.0,1735987862.7628667,,,,,0.90125,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
44,229.07179999351501,0.0,1735987864.8784199,,0.9173678159713745,1.0,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
45,229.07199931144714,0.0,1735987864.8786192,,,,0.0009998950060197502,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
46,237.12894344329834,0.0,1735987872.9355633,,,,,0.90525,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
47,238.12411212921143,0.0,1735987873.930732,,0.6544092297554016,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
48,238.12434363365173,0.0,1735987873.9309635,,,,0.0009998800078196328,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
49,246.20858788490295,0.0,1735987882.0152078,,,,,0.90175,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
50,248.35283017158508,0.0,1735987884.15945,,0.7015913724899292,1.0,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
51,248.3530249595642,0.0,1735987884.1596448,,,,0.0009998640099954728,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
52,256.35743522644043,0.0,1735987892.164055,,,,,0.90475,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
53,256.9171347618103,0.0,1735987892.7237546,,0.9234630465507507,0.75,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
54,256.92071437835693,0.0,1735987892.7273343,,,,0.0009998470125962588,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
55,265.0230984687805,0.0,1735987900.8297184,,,,,0.904,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
56,267.3612537384033,0.0,1735987903.1678736,,0.731448769569397,0.875,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
57,267.3614480495453,0.0,1735987903.168068,,,,0.0009998290156739765,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
58,275.429349899292,0.0,1735987911.2359698,,,,,0.89675,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
59,277.203250169754,0.0,1735987913.00987,,0.677855908870697,1.0,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
