_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
24,9337.092302552,0.0,1734572778.3751452,,,,0.0009999720004619944,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
25,10618.335284937,0.0,1734574059.618149,,,,,0.8758999998569489,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
26,10850.150494452,0.0,1734574291.4334183,,,,,,0.7706499991416931,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
27,10850.221044547,0.0,1734574291.503784,,,,,,,0.8286072015762329,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
28,10850.303266423,0.0,1734574291.5860763,,,,,,,0.2903144955635071,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
29,10850.406979555,0.0,1734574291.6897182,,,,,,,1.3887123486711062e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
30,10850.490412748,0.0,1734574291.7731466,,,,,,,1.3052973599769757e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
31,10850.569822374,0.0,1734574291.8525715,,,,,,,9.387704125174423e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
32,10850.647028117,0.0,1734574291.9297814,,,,,,,0.01654551923274994,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
33,10850.728650316,0.0,1734574292.0114048,,,,,,,0.016694974154233932,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
34,10850.812617531,0.0,1734574292.0954103,,,,,,,0.17742593586444855,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
35,10850.894034856,0.0,1734574292.1768472,,,,,,,8.61586977407569e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
36,10850.9735374,0.0,1734574292.2563221,,,,,,,1.0147489319933811e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
37,10851.057824879,0.0,1734574292.3406312,,,,,,,5.915685505897272e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
