unseen_ds,spc,model,nway,trained_ds,mean_diff,acc,dis_mean,norm_ratio_sum,norm_ratio_limits,domain,acc_std,bt_iter,sum_min_values
TKH,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.10512668,0.30879999999999996,0.2449517,0.74870574,0.5853602172919181,OOD,0.04417363467046831,3,2281.844918183051
cifar100_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0,0.22705,0.35007837,0.89743966,0.6836546411412785,ID,0.035674535736292354,3,3968.729421166703
Egyptian,1,RelationNetwork,5,cifar100_SOTA_testSet,0.041434705,0.32989999999999997,0.39151308,0.9252326,0.7050238103470604,OOD,0.03804260769190251,3,4493.334839330055
Greek,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.23907262,0.38865000000000005,0.111005746,0.43734655,0.3859554557369257,OOD,0.04503390389473247,3,377.0396494465349
b-59-850,1,RelationNetwork,5,cifar100_SOTA_testSet,0.06258902,0.3014,0.4126674,0.97344667,0.7388065595760283,OOD,0.04696317706458966,3,4928.272127505392
miniImageNet_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.09550172,0.22529999999999997,0.25457665,0.6933476,0.556707506015647,OOD,0.03663891373935641,3,2043.9643940713722
b-59-850,5,RelationNetwork,5,Egyptian,0.31557462,0.2936,0.77871525,1.3005316,0.8990415819436397,OOD,0.03437353633247531,0,13815.056593235582
omniglot_SOTA_testSet,5,RelationNetwork,5,Egyptian,-0.22621071,0.4756,0.23692992,0.47149596,0.3839034085933201,OOD,0.05207821041472143,0,1732.5458031647622
TKH,5,RelationNetwork,5,Egyptian,0.25941637,0.4913499999999999,0.722557,1.0717547,0.7759749975458647,OOD,0.05488216923555409,0,10741.924509079021
Egyptian,5,RelationNetwork,5,Egyptian,0.0,0.8476000000000001,0.46314064,0.46725196,0.3882448747620962,ID,0.037372984895509755,0,2750.661368254863
cifar100_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.49037686,0.22544999999999998,0.9535175,1.4621359,0.9850750337923728,OOD,0.029375542548181133,0,18481.436926200986
Greek,5,RelationNetwork,5,Egyptian,-0.076654255,0.44385,0.38648638,0.526067,0.40594578962327293,OOD,0.0613926094900681,0,3950.527557338941
miniImageNet_SOTA_testSet,5,RelationNetwork,5,Egyptian,0.48698762,0.2073,0.95012826,1.4588386,0.9842855903722318,OOD,0.025356655930938526,0,18346.220552563667
omniglot_SOTA_testSet,5,RelationNetwork,5,Egyptian,-0.17951387,0.47690000000000005,0.30356127,0.6031393,0.47068374269518654,OOD,0.05140661436041086,2,2793.1494834514306
