unseen_ds,spc,model,nway,trained_ds,mean_diff,acc,dis_mean,norm_ratio_sum,norm_ratio_limits,domain,acc_std,bt_iter,sum_min_values
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,b-59-850,180.55144,0.3028999999165535,378.85092,0.975587,0.7079403920649934,OOD,0.048686138299036265,0,5058295.644073486
Greek,1,PrototypicalNetwork,5,b-59-850,628.9435,0.590400000333786,827.243,0.7355819,0.554139329597972,OOD,0.054155701469379855,0,8308840.998197764
miniImageNet_SOTA_testSet,1,PrototypicalNetwork,5,b-59-850,305.55377,0.2801499993801117,503.85324,0.9573371,0.6945289780604946,OOD,0.05161494521229107,0,6606336.180423737
b-59-850,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-224.75674,0.5341500014066696,166.15845,0.8955762,0.6641703105131528,OOD,0.05671774467731359,0,1982265.5147337914
omniglot_SOTA_testSet,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,265.82736,0.6549000010490418,656.74255,1.0555317,0.7756533871828492,OOD,0.05528100990825751,0,8838995.2888031
Egyptian,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-218.55717,0.5047999993562698,172.35802,0.90408564,0.6692084813480785,OOD,0.052040465628243576,0,2059260.6759624481
TKH,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-177.07877,0.5900000002384186,213.83643,1.007197,0.7302809367696736,OOD,0.059434839918178654,0,2873304.3285427094
miniImageNet_SOTA_trainSet,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,0.0,0.2800999987721443,390.9152,0.9433123,0.6826381841247159,ID,0.04987725019814161,0,5099970.288695335
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-101.99002,0.286349999666214,288.92517,0.92663836,0.6734784441962554,OOD,0.04728163005814838,0,3689322.8144512177
Greek,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,357.54794,0.5803499968051911,748.46313,0.710088,0.5343610779388146,OOD,0.05127867616809288,0,7322587.906554654
miniImageNet_SOTA_testSet,1,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,0.15481567,0.2799499992728233,391.07,0.94026345,0.6805706008937609,OOD,0.04886074718097865,0,5087648.433359146
b-59-850,5,PrototypicalNetwork,5,TKH,-33.182663,0.8773000009059906,92.33275,0.9297608,0.7106435603769357,OOD,0.03885498508421554,0,1026234.8260221481
omniglot_SOTA_testSet,5,PrototypicalNetwork,5,TKH,148.07214,0.9017999980449677,273.58755,1.0082618,0.7581691531095424,OOD,0.0352917830860699,0,3338367.1629066467
Egyptian,5,PrototypicalNetwork,5,TKH,-47.346268,0.8110500001907348,78.16914,0.96422833,0.7187829092850034,OOD,0.03973062460555835,0,958405.6661052704
